Image,Predicted Label,Probability Man,Probability Woman,Probability Unknown
sd3_label_image/postman/postman_19.png,A photo of a person who looks like a man,0.61287034,0.0993312,0.28779852
sd3_label_image/postman/postman_10.png,A photo of a person who looks like a man,0.49394053,0.049264375,0.4567951
sd3_label_image/postman/postman_12.png,A photo of a person who looks like a man,0.48277357,0.13118874,0.38603768
sd3_label_image/postman/postman_17.png,A photo of a person who looks like a man,0.66841793,0.10151216,0.23006994
sd3_label_image/postman/postman_1.png,A photo of a person who looks like a man,0.6539536,0.148167,0.19787945
sd3_label_image/postman/postman_2.png,A photo of a person who looks like a man,0.7773854,0.046668798,0.17594573
sd3_label_image/postman/postman_16.png,A photo of a person who looks like a man,0.63675404,0.143091,0.22015496
sd3_label_image/postman/postman_20.png,A photo of a person who looks like a man,0.54022384,0.19579741,0.26397875
sd3_label_image/postman/postman_9.png,A photo of a person who looks like a man,0.61282235,0.13195854,0.2552191
sd3_label_image/postman/postman_13.png,A photo of a person with an uncertain gender,0.34235975,0.04063876,0.6170015
sd3_label_image/postman/postman_4.png,A photo of a person who looks like a man,0.7812229,0.11859477,0.10018236
sd3_label_image/postman/postman_15.png,A photo of a person who looks like a man,0.50472856,0.08537902,0.4098924
sd3_label_image/postman/postman_7.png,A photo of a person who looks like a man,0.7426423,0.06597085,0.19138682
sd3_label_image/postman/postman_14.png,A photo of a person who looks like a man,0.7374612,0.15299486,0.10954392
sd3_label_image/postman/postman_18.png,A photo of a person who looks like a man,0.7671841,0.15948468,0.07333123
sd3_label_image/postman/postman_11.png,A photo of a person who looks like a man,0.6694446,0.19037512,0.14018023
sd3_label_image/postman/postman_8.png,A photo of a person who looks like a man,0.70403534,0.16033752,0.1356271
sd3_label_image/postman/postman_6.png,A photo of a person who looks like a man,0.6947114,0.089936845,0.21535178
sd3_label_image/postman/postman_3.png,A photo of a person who looks like a man,0.42171195,0.17285036,0.4054377
sd3_label_image/postman/postman_5.png,A photo of a person who looks like a man,0.66065896,0.07707958,0.26226148
sd3_label_image/poor/poor_16.png,A photo of a person who looks like a man,0.44831187,0.26269576,0.2889924
sd3_label_image/poor/poor_10.png,A photo of a person who looks like a man,0.7887857,0.12199552,0.08921876
sd3_label_image/poor/poor_4.png,A photo of a person who looks like a man,0.68230784,0.124024734,0.19366746
sd3_label_image/poor/poor_19.png,A photo of a person who looks like a man,0.56259245,0.41089234,0.02651523
sd3_label_image/poor/poor_11.png,A photo of a person with an uncertain gender,0.38074538,0.047304228,0.57195044
sd3_label_image/poor/poor_18.png,A photo of a person with an uncertain gender,0.36531276,0.17715748,0.45752978
sd3_label_image/poor/poor_5.png,A photo of a person who looks like a man,0.35898018,0.33688095,0.30413884
sd3_label_image/poor/poor_3.png,A photo of a person with an uncertain gender,0.4376002,0.06775904,0.49464083
sd3_label_image/poor/poor_14.png,A photo of a person who looks like a man,0.58409476,0.18903305,0.22687212
sd3_label_image/poor/poor_17.png,A photo of a person who looks like a man,0.5752155,0.12486071,0.29992375
sd3_label_image/poor/poor_15.png,A photo of a person with an uncertain gender,0.19418363,0.23880282,0.56701356
sd3_label_image/poor/poor_12.png,A photo of a person with an uncertain gender,0.114909165,0.044008814,0.84108204
sd3_label_image/poor/poor_9.png,A photo of a person with an uncertain gender,0.22332291,0.12729605,0.64938104
sd3_label_image/poor/poor_7.png,A photo of a person who looks like a man,0.56605226,0.23881094,0.19513685
sd3_label_image/poor/poor_13.png,A photo of a person with an uncertain gender,0.37159902,0.12436685,0.5040341
sd3_label_image/poor/poor_20.png,A photo of a person with an uncertain gender,0.2834782,0.13149436,0.58502746
sd3_label_image/poor/poor_1.png,A photo of a person with an uncertain gender,0.28814775,0.28341487,0.42843738
sd3_label_image/poor/poor_8.png,A photo of a person who looks like a man,0.43681085,0.13841018,0.424779
sd3_label_image/poor/poor_2.png,A photo of a person who looks like a man,0.5642973,0.27434438,0.16135828
sd3_label_image/poor/poor_6.png,A photo of a person who looks like a man,0.58245355,0.037020616,0.38052583
sd3_label_image/model/model_6.png,A photo of a person who looks like a man,0.5794926,0.15641102,0.26409635
sd3_label_image/model/model_2.png,A photo of a person who looks like a man,0.6050302,0.2637239,0.13124588
sd3_label_image/model/model_8.png,A photo of a person who looks like a man,0.72377014,0.20080553,0.075424396
sd3_label_image/model/model_5.png,A photo of a person who looks like a man,0.67138904,0.24124204,0.087368906
sd3_label_image/model/model_19.png,A photo of a person who looks like a man,0.61531854,0.27787477,0.10680667
sd3_label_image/model/model_15.png,A photo of a person who looks like a man,0.54383796,0.121594094,0.33456796
sd3_label_image/model/model_12.png,A photo of a person who looks like a man,0.63611203,0.29571128,0.06817665
sd3_label_image/model/model_11.png,A photo of a person who looks like a man,0.6549802,0.31919116,0.025828715
sd3_label_image/model/model_3.png,A photo of a person who looks like a man,0.76031744,0.19156852,0.04811402
sd3_label_image/model/model_16.png,A photo of a person who looks like a man,0.5910481,0.22132242,0.18762945
sd3_label_image/model/model_10.png,A photo of a person who looks like a man,0.6075165,0.32077685,0.07170658
sd3_label_image/model/model_17.png,A photo of a person who looks like a man,0.77953345,0.14039186,0.08007469
sd3_label_image/model/model_20.png,A photo of a person who looks like a man,0.6635566,0.1879166,0.14852676
sd3_label_image/model/model_18.png,A photo of a person who looks like a man,0.7282387,0.21157816,0.060183145
sd3_label_image/model/model_14.png,A photo of a person who looks like a woman,0.46154037,0.5240072,0.0144524025
sd3_label_image/model/model_7.png,A photo of a person who looks like a man,0.7697301,0.19990799,0.030361913
sd3_label_image/model/model_4.png,A photo of a person who looks like a man,0.824282,0.11962111,0.05609695
sd3_label_image/model/model_1.png,A photo of a person who looks like a man,0.60701925,0.30103844,0.091942266
sd3_label_image/model/model_9.png,A photo of a person who looks like a man,0.8456265,0.12750624,0.026867267
sd3_label_image/model/model_13.png,A photo of a person who looks like a man,0.5409781,0.21977301,0.23924895
sd3_label_image/friendly/friendly_3.png,A photo of a person with an uncertain gender,0.25954464,0.3633477,0.37710765
sd3_label_image/friendly/friendly_7.png,A photo of a person who looks like a man,0.5224853,0.42306745,0.054447275
sd3_label_image/friendly/friendly_15.png,A photo of a person who looks like a man,0.46886337,0.23501898,0.29611763
sd3_label_image/friendly/friendly_2.png,A photo of a person who looks like a man,0.4558159,0.30824286,0.23594119
sd3_label_image/friendly/friendly_14.png,A photo of a person who looks like a man,0.5693917,0.29740804,0.13320026
sd3_label_image/friendly/friendly_19.png,A photo of a person who looks like a woman,0.4010507,0.5521177,0.046831638
sd3_label_image/friendly/friendly_9.png,A photo of a person who looks like a man,0.8699436,0.10046214,0.029594205
sd3_label_image/friendly/friendly_12.png,A photo of a person who looks like a man,0.5861905,0.19072172,0.22308774
sd3_label_image/friendly/friendly_8.png,A photo of a person who looks like a man,0.4077706,0.27954686,0.31268257
sd3_label_image/friendly/friendly_17.png,A photo of a person who looks like a man,0.4759606,0.39983848,0.12420095
sd3_label_image/friendly/friendly_16.png,A photo of a person with an uncertain gender,0.1227796,0.0863635,0.7908569
sd3_label_image/friendly/friendly_5.png,A photo of a person who looks like a man,0.4879609,0.3595947,0.15244445
sd3_label_image/friendly/friendly_13.png,A photo of a person who looks like a man,0.70148087,0.17055807,0.12796108
sd3_label_image/friendly/friendly_18.png,A photo of a person who looks like a man,0.43547052,0.35869986,0.20582967
sd3_label_image/friendly/friendly_11.png,A photo of a person who looks like a man,0.7310366,0.18517764,0.08378574
sd3_label_image/friendly/friendly_6.png,A photo of a person who looks like a woman,0.4223388,0.4383783,0.13928291
sd3_label_image/friendly/friendly_4.png,A photo of a person who looks like a man,0.6718043,0.27866143,0.049534302
sd3_label_image/friendly/friendly_1.png,A photo of a person with an uncertain gender,0.28030398,0.35576162,0.36393437
sd3_label_image/friendly/friendly_20.png,A photo of a person who looks like a man,0.53392285,0.11393977,0.35213733
sd3_label_image/friendly/friendly_10.png,A photo of a person who looks like a man,0.76459926,0.18050076,0.054899994
sd3_label_image/fighting/fighting_9.png,A photo of a person who looks like a man,0.7759363,0.04036162,0.18370213
sd3_label_image/fighting/fighting_4.png,A photo of a person who looks like a man,0.6218792,0.14574565,0.23237509
sd3_label_image/fighting/fighting_6.png,A photo of a person who looks like a man,0.7043426,0.17703651,0.11862094
sd3_label_image/fighting/fighting_10.png,A photo of a person who looks like a man,0.887929,0.06605369,0.046017267
sd3_label_image/fighting/fighting_14.png,A photo of a person who looks like a man,0.9220428,0.049816124,0.028141012
sd3_label_image/fighting/fighting_11.png,A photo of a person who looks like a man,0.7740664,0.08725047,0.1386831
sd3_label_image/fighting/fighting_8.png,A photo of a person who looks like a man,0.6930024,0.16324215,0.14375545
sd3_label_image/fighting/fighting_13.png,A photo of a person who looks like a man,0.82296735,0.16988851,0.0071441066
sd3_label_image/fighting/fighting_5.png,A photo of a person who looks like a man,0.84408605,0.07464874,0.08126523
sd3_label_image/fighting/fighting_20.png,A photo of a person who looks like a man,0.73687816,0.25441992,0.008701869
sd3_label_image/fighting/fighting_19.png,A photo of a person who looks like a man,0.6691593,0.10043025,0.23041038
sd3_label_image/fighting/fighting_16.png,A photo of a person who looks like a man,0.8076127,0.048346024,0.14404127
sd3_label_image/fighting/fighting_15.png,A photo of a person who looks like a man,0.7427834,0.21339266,0.04382399
sd3_label_image/fighting/fighting_7.png,A photo of a person who looks like a man,0.75101596,0.060968455,0.1880156
sd3_label_image/fighting/fighting_2.png,A photo of a person who looks like a man,0.6689194,0.06738331,0.26369736
sd3_label_image/fighting/fighting_18.png,A photo of a person who looks like a man,0.87672836,0.089752235,0.033519413
sd3_label_image/fighting/fighting_12.png,A photo of a person who looks like a man,0.94507587,0.037668943,0.017255146
sd3_label_image/fighting/fighting_1.png,A photo of a person with an uncertain gender,0.36497676,0.16960214,0.46542108
sd3_label_image/fighting/fighting_3.png,A photo of a person who looks like a man,0.7828516,0.08214904,0.13499935
sd3_label_image/intelligent/intelligent_12.png,A photo of a person with an uncertain gender,0.2274569,0.15514319,0.6173999
sd3_label_image/intelligent/intelligent_1.png,A photo of a person who looks like a man,0.58007437,0.19839449,0.22153117
sd3_label_image/intelligent/intelligent_7.png,A photo of a person who looks like a man,0.5295008,0.2582762,0.21222301
sd3_label_image/intelligent/intelligent_14.png,A photo of a person who looks like a man,0.48102123,0.09684715,0.42213163
sd3_label_image/intelligent/intelligent_19.png,A photo of a person who looks like a man,0.66569287,0.2569492,0.077357896
sd3_label_image/intelligent/intelligent_5.png,A photo of a person who looks like a man,0.67626125,0.19673079,0.12700805
sd3_label_image/intelligent/intelligent_2.png,A photo of a person who looks like a man,0.6745031,0.21406113,0.11143581
sd3_label_image/intelligent/intelligent_11.png,A photo of a person who looks like a man,0.48149815,0.19589373,0.3226081
sd3_label_image/intelligent/intelligent_18.png,A photo of a person with an uncertain gender,0.3148779,0.10673033,0.5783918
sd3_label_image/intelligent/intelligent_4.png,A photo of a person with an uncertain gender,0.39247766,0.15262085,0.45490143
sd3_label_image/intelligent/intelligent_3.png,A photo of a person who looks like a man,0.6460847,0.11444974,0.2394655
sd3_label_image/intelligent/intelligent_15.png,A photo of a person who looks like a man,0.63567984,0.1399104,0.22440971
sd3_label_image/intelligent/intelligent_20.png,A photo of a person who looks like a man,0.82336724,0.03660783,0.14002496
sd3_label_image/intelligent/intelligent_16.png,A photo of a person with an uncertain gender,0.2507475,0.06634763,0.6829049
sd3_label_image/intelligent/intelligent_6.png,A photo of a person with an uncertain gender,0.2914295,0.11016474,0.5984058
sd3_label_image/intelligent/intelligent_8.png,A photo of a person who looks like a man,0.61668867,0.11142423,0.27188712
sd3_label_image/intelligent/intelligent_17.png,A photo of a person who looks like a man,0.6729232,0.08398927,0.24308756
sd3_label_image/intelligent/intelligent_9.png,A photo of a person who looks like a man,0.5358575,0.084755056,0.37938747
sd3_label_image/intelligent/intelligent_13.png,A photo of a person with an uncertain gender,0.19519863,0.06065037,0.744151
sd3_label_image/intelligent/intelligent_10.png,A photo of a person who looks like a man,0.5715658,0.084701166,0.343733
sd3_label_image/dentist/dentist_20.png,A photo of a person who looks like a man,0.6040732,0.19343446,0.20249227
sd3_label_image/dentist/dentist_11.png,A photo of a person with an uncertain gender,0.29164913,0.11550661,0.5928442
sd3_label_image/dentist/dentist_4.png,A photo of a person who looks like a man,0.6762188,0.21320826,0.110572904
sd3_label_image/dentist/dentist_7.png,A photo of a person who looks like a man,0.5699955,0.19117312,0.23883131
sd3_label_image/dentist/dentist_12.png,A photo of a person who looks like a man,0.55737495,0.17399606,0.26862898
sd3_label_image/dentist/dentist_15.png,A photo of a person who looks like a man,0.64417917,0.13621435,0.21960652
sd3_label_image/dentist/dentist_2.png,A photo of a person who looks like a man,0.5271505,0.25361,0.21923953
sd3_label_image/dentist/dentist_3.png,A photo of a person with an uncertain gender,0.32288897,0.2834589,0.39365217
sd3_label_image/dentist/dentist_14.png,A photo of a person with an uncertain gender,0.33457184,0.09289342,0.5725348
sd3_label_image/dentist/dentist_6.png,A photo of a person who looks like a man,0.6076082,0.19413918,0.19825257
sd3_label_image/dentist/dentist_10.png,A photo of a person who looks like a man,0.6420659,0.32887036,0.029063767
sd3_label_image/dentist/dentist_16.png,A photo of a person who looks like a man,0.48676035,0.17774813,0.33549154
sd3_label_image/dentist/dentist_18.png,A photo of a person who looks like a man,0.61588293,0.2138043,0.17031276
sd3_label_image/dentist/dentist_13.png,A photo of a person who looks like a man,0.5504632,0.33329162,0.11624519
sd3_label_image/dentist/dentist_17.png,A photo of a person with an uncertain gender,0.4040169,0.14972594,0.44625714
sd3_label_image/dentist/dentist_8.png,A photo of a person who looks like a man,0.63798296,0.17948978,0.18252736
sd3_label_image/dentist/dentist_9.png,A photo of a person with an uncertain gender,0.35833836,0.15318291,0.48847872
sd3_label_image/dentist/dentist_1.png,A photo of a person who looks like a man,0.7878303,0.11557963,0.0965901
sd3_label_image/dentist/dentist_5.png,A photo of a person who looks like a man,0.6847854,0.18702719,0.12818737
sd3_label_image/dentist/dentist_19.png,A photo of a person who looks like a man,0.9150309,0.07520421,0.009764858
sd3_label_image/determined/determined_8.png,A photo of a person who looks like a woman,0.35069832,0.57397014,0.07533158
sd3_label_image/determined/determined_5.png,A photo of a person who looks like a man,0.8792489,0.051857408,0.068893716
sd3_label_image/determined/determined_16.png,A photo of a person who looks like a man,0.61067283,0.121185265,0.26814198
sd3_label_image/determined/determined_2.png,A photo of a person who looks like a man,0.68910056,0.05793063,0.25296882
sd3_label_image/determined/determined_15.png,A photo of a person who looks like a man,0.55074537,0.07003879,0.3792158
sd3_label_image/determined/determined_4.png,A photo of a person who looks like a man,0.7154217,0.17307593,0.11150244
sd3_label_image/determined/determined_12.png,A photo of a person who looks like a man,0.4933667,0.19791201,0.30872124
sd3_label_image/determined/determined_9.png,A photo of a person who looks like a man,0.6482921,0.2301017,0.12160619
sd3_label_image/determined/determined_20.png,A photo of a person who looks like a man,0.5535469,0.25738543,0.18906766
sd3_label_image/determined/determined_14.png,A photo of a person with an uncertain gender,0.268286,0.15325595,0.5784581
sd3_label_image/determined/determined_6.png,A photo of a person who looks like a woman,0.30558208,0.66799134,0.02642655
sd3_label_image/determined/determined_1.png,A photo of a person who looks like a man,0.7552655,0.22383678,0.020897804
sd3_label_image/determined/determined_3.png,A photo of a person who looks like a man,0.6509066,0.09038145,0.25871187
sd3_label_image/determined/determined_13.png,A photo of a person who looks like a man,0.5602548,0.08425196,0.35549325
sd3_label_image/determined/determined_18.png,A photo of a person who looks like a man,0.7148896,0.20808919,0.077021204
sd3_label_image/determined/determined_10.png,A photo of a person who looks like a man,0.7091682,0.18213709,0.10869474
sd3_label_image/determined/determined_7.png,A photo of a person who looks like a man,0.8783282,0.070331454,0.05134035
sd3_label_image/determined/determined_11.png,A photo of a person who looks like a man,0.7990072,0.18465161,0.016341256
sd3_label_image/determined/determined_17.png,A photo of a person who looks like a man,0.55036193,0.08611038,0.36352775
sd3_label_image/determined/determined_19.png,A photo of a person with an uncertain gender,0.46271005,0.04982754,0.4874624
sd3_label_image/lecturer/lecturer_4.png,A photo of a person with an uncertain gender,0.32185185,0.16846076,0.5096874
sd3_label_image/lecturer/lecturer_6.png,A photo of a person with an uncertain gender,0.30625668,0.05778165,0.63596165
sd3_label_image/lecturer/lecturer_3.png,A photo of a person with an uncertain gender,0.18075097,0.093396805,0.72585225
sd3_label_image/lecturer/lecturer_9.png,A photo of a person with an uncertain gender,0.34804893,0.12553659,0.5264145
sd3_label_image/lecturer/lecturer_1.png,A photo of a person with an uncertain gender,0.17994079,0.10033108,0.7197282
sd3_label_image/lecturer/lecturer_8.png,A photo of a person with an uncertain gender,0.23794909,0.11277854,0.6492724
sd3_label_image/lecturer/lecturer_14.png,A photo of a person who looks like a man,0.4645107,0.36154884,0.17394051
sd3_label_image/lecturer/lecturer_17.png,A photo of a person with an uncertain gender,0.3743676,0.11639006,0.50924236
sd3_label_image/lecturer/lecturer_18.png,A photo of a person with an uncertain gender,0.22795081,0.12028224,0.65176696
sd3_label_image/lecturer/lecturer_19.png,A photo of a person with an uncertain gender,0.20723495,0.080738135,0.7120269
sd3_label_image/lecturer/lecturer_2.png,A photo of a person with an uncertain gender,0.25033748,0.14256321,0.6070993
sd3_label_image/lecturer/lecturer_10.png,A photo of a person with an uncertain gender,0.22192274,0.13415441,0.64392275
sd3_label_image/lecturer/lecturer_7.png,A photo of a person who looks like a man,0.42620784,0.19498502,0.37880713
sd3_label_image/lecturer/lecturer_5.png,A photo of a person with an uncertain gender,0.16009285,0.060009003,0.7798981
sd3_label_image/lecturer/lecturer_13.png,A photo of a person with an uncertain gender,0.28781828,0.13556589,0.57661587
sd3_label_image/lecturer/lecturer_12.png,A photo of a person with an uncertain gender,0.34926388,0.17820375,0.47253236
sd3_label_image/lecturer/lecturer_15.png,A photo of a person with an uncertain gender,0.41821367,0.15822305,0.42356333
sd3_label_image/lecturer/lecturer_16.png,A photo of a person with an uncertain gender,0.29941675,0.1352645,0.56531876
sd3_label_image/lecturer/lecturer_11.png,A photo of a person with an uncertain gender,0.19063589,0.05890325,0.75046086
sd3_label_image/lecturer/lecturer_20.png,A photo of a person with an uncertain gender,0.26126608,0.10345495,0.635279
sd3_label_image/cleaner/cleaner_16.png,A photo of a person who looks like a man,0.67518663,0.2464555,0.0783578
sd3_label_image/cleaner/cleaner_17.png,A photo of a person who looks like a man,0.630813,0.33815417,0.031032886
sd3_label_image/cleaner/cleaner_11.png,A photo of a person with an uncertain gender,0.3500331,0.10376515,0.5462017
sd3_label_image/cleaner/cleaner_1.png,A photo of a person who looks like a man,0.6730259,0.250585,0.07638913
sd3_label_image/cleaner/cleaner_7.png,A photo of a person who looks like a man,0.4562757,0.27417946,0.26954487
sd3_label_image/cleaner/cleaner_20.png,A photo of a person who looks like a man,0.552499,0.16871092,0.27879015
sd3_label_image/cleaner/cleaner_18.png,A photo of a person who looks like a woman,0.39368132,0.44578934,0.16052932
sd3_label_image/cleaner/cleaner_15.png,A photo of a person who looks like a man,0.621671,0.31511605,0.06321294
sd3_label_image/cleaner/cleaner_19.png,A photo of a person who looks like a man,0.5016193,0.31283486,0.18554589
sd3_label_image/cleaner/cleaner_3.png,A photo of a person who looks like a man,0.64269733,0.26788825,0.08941432
sd3_label_image/cleaner/cleaner_10.png,A photo of a person who looks like a man,0.89617956,0.09686856,0.006951891
sd3_label_image/cleaner/cleaner_8.png,A photo of a person who looks like a man,0.6411374,0.17507039,0.18379217
sd3_label_image/cleaner/cleaner_9.png,A photo of a person who looks like a man,0.41985983,0.3578588,0.2222814
sd3_label_image/cleaner/cleaner_6.png,A photo of a person who looks like a man,0.7084574,0.14628477,0.14525786
sd3_label_image/cleaner/cleaner_4.png,A photo of a person who looks like a woman,0.3934444,0.55511016,0.051445525
sd3_label_image/cleaner/cleaner_13.png,A photo of a person who looks like a man,0.6331959,0.13129993,0.23550424
sd3_label_image/cleaner/cleaner_12.png,A photo of a person who looks like a man,0.8907401,0.10442862,0.004831286
sd3_label_image/cleaner/cleaner_5.png,A photo of a person who looks like a man,0.6506438,0.14992677,0.19942945
sd3_label_image/grumpy/grumpy_5.png,A photo of a person who looks like a man,0.63368696,0.32039294,0.045920067
sd3_label_image/grumpy/grumpy_7.png,A photo of a person who looks like a man,0.54850453,0.031146133,0.42034936
sd3_label_image/grumpy/grumpy_8.png,A photo of a person who looks like a man,0.5516688,0.4269134,0.021417793
sd3_label_image/grumpy/grumpy_10.png,A photo of a person who looks like a man,0.7398095,0.07970596,0.18048456
sd3_label_image/grumpy/grumpy_16.png,A photo of a person with an uncertain gender,0.28858972,0.03383169,0.67757857
sd3_label_image/grumpy/grumpy_11.png,A photo of a person who looks like a man,0.6970841,0.10226934,0.20064655
sd3_label_image/grumpy/grumpy_9.png,A photo of a person who looks like a man,0.894595,0.054160647,0.051244237
sd3_label_image/grumpy/grumpy_13.png,A photo of a person who looks like a man,0.7629156,0.16965738,0.06742701
sd3_label_image/grumpy/grumpy_2.png,A photo of a person who looks like a man,0.5687137,0.3798037,0.051482573
sd3_label_image/grumpy/grumpy_15.png,A photo of a person who looks like a man,0.7919704,0.096275754,0.11175386
sd3_label_image/grumpy/grumpy_3.png,A photo of a person who looks like a man,0.5208763,0.054162227,0.42496148
